Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
151.0,333.0,112.0,4.0,3.99413653986759,4.013625965858617,9.621852537293904,0.0,0.929228931188115
337.0,319.0,110.0,3.0,2.9611187067074463,2.6449401387941744,8.954062779959921,0.0,0.7348043917009954
289.0,315.0,102.0,3.0,5.0,4.989684707243289,9.113323214259127,1.0,0.8246622613879072
349.0,302.0,99.0,1.0,2.0702425682931294,2.074047327617443,7.35629885283194,1.0,0.5721699485828767
305.0,314.0,106.0,3.0,2.7327538910482194,2.050471809697329,8.564437363317563,0.0,0.6170963203976181
169.0,291.0,98.0,2.0,1.9545382363157304,4.022848817601495,7.784651415418487,1.0,0.6558494791245747
97.0,306.0,100.0,2.0,3.0,3.0,8.0,0.0,0.48
441.0,304.0,103.0,1.0,2.680696306198535,1.5581609025122205,7.86064693412031,0.0,0.5422846182998002
173.0,322.0,110.0,3.0,3.922304206936893,5.0,9.069256821003467,0.0,0.8490882150769438
74.0,315.0,107.0,5.0,4.4945288821446105,4.1303101188899,9.044889488111204,0.0,0.8552667855613671
459.0,311.0,101.0,1.0,2.9950926317549342,2.9046522330512827,8.524996076868304,1.0,0.6899585556122211
398.0,329.0,115.0,5.0,5.0,4.7429691978868025,9.48831216149072,0.0,0.9105959821170396
455.0,311.0,105.0,1.0,2.9591277056305225,3.339110085125975,8.007345991781754,0.0,0.7274754671383143
31.0,300.0,96.0,3.0,2.7536723732993287,2.981594836788677,8.052102563006509,0.0,0.6331235659074465
200.0,312.0,107.0,4.0,4.092737983802531,4.627924869186798,8.56393078987099,0.0,0.7206094437550482
107.0,327.0,111.0,3.0,4.604300979682575,4.524570101537761,9.23840651121141,1.0,0.8772162538533077
98.0,331.0,120.0,3.0,4.0,4.0,8.96,1.0,0.86
387.0,300.0,100.0,1.0,2.3905793421017822,3.511542354246428,7.887043758063081,0.0,0.4437700207821724
311.0,320.0,103.0,4.0,3.0077661539445013,3.486254947084233,8.781675637304483,1.0,0.7307767750195561
32.0,327.0,102.0,4.0,3.978374434366057,4.076629805505007,8.256012771003768,0.0,0.7161442072898476
380.0,311.0,100.0,2.0,2.424132184665188,3.073823808803475,8.343609101198082,1.0,0.6934874739037384
375.0,314.0,104.0,3.0,1.9691999101994957,2.6086110772506133,7.636612534694882,1.0,0.3809773435317847
329.0,321.0,112.0,4.0,3.797262171197305,3.512593766807054,8.839901731590302,0.0,0.8249913644205804
298.0,321.0,120.0,4.0,3.960783445769713,4.566750572267363,9.201108531643886,0.0,0.8391103324526002
390.0,319.0,108.0,3.0,3.603222868637222,4.003078218489195,8.42933490343208,1.0,0.7721272923887887
385.0,340.0,113.0,4.0,4.944884925876956,5.0,9.749588863921655,1.0,0.9317795099870274
328.0,294.0,100.0,1.0,2.4763491392847023,1.9788303139280436,7.780221362435254,0.0,0.6694962271015149
49.0,320.0,109.0,4.0,3.435434421851895,5.0,8.86666165995185,0.0,0.8349127931580541
219.0,323.0,111.0,3.0,3.045510612255524,3.5635124690089857,9.020318815226611,0.0,0.8211528079066069
170.0,309.0,98.0,3.0,2.616878439624418,3.0301049497103385,8.045937643421466,1.0,0.6259041395879876
54.0,324.0,111.0,3.0,3.8921941131313456,2.384433353012591,8.089786784911222,1.0,0.7150332468874917
447.0,328.0,119.0,3.0,4.835885847206049,4.898801834082341,9.610521084743516,1.0,0.9257281648166958
326.0,325.0,115.0,3.0,3.65753073404709,4.203738224069049,9.027628629469088,1.0,0.8036975393208603
390.0,321.0,108.0,4.0,3.480958246852182,3.9294172201152975,8.411340914665411,0.0,0.758415974900574
66.0,323.0,112.0,4.0,3.360325681968098,3.637681642113578,8.78835076903352,1.0,0.5294920246589823
68.0,315.0,105.0,2.0,3.572995813140926,3.6884490383167217,8.59613427046162,1.0,0.5868495283151764
18.0,319.0,105.0,4.0,4.171122047333687,3.1181919071037782,8.104571656655864,0.0,0.6287314917021442
